Category;Criteria;attribute;string_condition;min_value;max_value;value;weight_standard;weight_senior;weight_child
Comfort;Sidewalk availability;sidewalk;yes;;;100;0.07;0.211;0.164
Comfort;Sidewalk availability;sidewalk;both;;;100;0.07;0.211;0.164
Comfort;Sidewalk availability;sidewalk;right;;;80;0.07;0.211;0.164
Comfort;Sidewalk availability;sidewalk;left;;;80;0.07;0.211;0.164
Comfort;Sidewalk availability;sidewalk;no;;;0;0.07;0.211;0.164
Comfort;Sidewalk width;sidewalk_width_num;;;1.5;20;0.07;0.102;0.027
Comfort;Sidewalk width;sidewalk_width_num;;1.5;3;50;0.07;0.102;0.027
Comfort;Sidewalk width;sidewalk_width_num;;3;;100;0.07;0.102;0.027
Comfort;Pavement quality;smoothness;excellent;;;100;0.035;0.0245;0.0145
Comfort;Pavement quality;smoothness;very_good;;;100;0.035;0.0245;0.0145
Comfort;Pavement quality;smoothness;good;;;90;0.035;0.0245;0.0145
Comfort;Pavement quality;smoothness;intermediate;;;50;0.035;0.0245;0.0145
Comfort;Pavement quality;smoothness;bad;;;20;0.035;0.0245;0.0145
Comfort;Pavement quality;smoothness;very_bad;;;20;0.035;0.0245;0.0145
Comfort;Pavement quality;smoothness;horrible;;;10;0.035;0.0245;0.0145
Comfort;Pavement quality;smoothness;very_horrible;;;10;0.035;0.0245;0.0145
Comfort;Pavement quality;smoothness;impassable;;;0;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;paved;;;100;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;asphalt;;;100;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;concrete;;;100;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;concrete:lanes;;;100;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;paving_stones;;;100;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;cobblestone:flattened;;;100;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;stone;;;80;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;sandstone;;;80;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;sett;;;80;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;metal;;;80;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;unhewn_cobblestone;;;80;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;cobblestone;;;80;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;unpaved;;;50;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;compacted;;;50;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;fine_gravel;;;30;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;metal_grid;;;30;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;gravel;;;30;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;pebblestone;;;30;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;rock;;;30;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;wood;;;30;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;ground;;;30;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;dirt;;;30;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;earth;;;30;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;grass;;;20;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;grass_paver;;;20;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;mud;;;20;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;sand;;;20;0.035;0.0245;0.0145
Comfort;Pavement quality;surface;no_data;;;50;0.035;0.0245;0.0145
Comfort;Slope;incline_percent;;;1;100;0.035;0.05;0.01
Comfort;Slope;incline_percent;;1;2;90;0.035;0.05;0.01
Comfort;Slope;incline_percent;;2;3;80;0.035;0.05;0.01
Comfort;Slope;incline_percent;;3;4;70;0.035;0.05;0.01
Comfort;Slope;incline_percent;;4;5;60;0.035;0.05;0.01
Comfort;Slope;incline_percent;;5;6;50;0.035;0.05;0.01
Comfort;Slope;incline_percent;;6;7;40;0.035;0.05;0.01
Comfort;Slope;incline_percent;;7;8;30;0.035;0.05;0.01
Comfort;Slope;incline_percent;;8;9;10;0.035;0.05;0.01
Comfort;Slope;incline_percent;;9;;0;0.035;0.05;0.01
Comfort;Category;highway;steps;;;0;0.035;0.061;0.027
Comfort;Category;highway;construction;;;0;0.035;0.061;0.027
Comfort;Category;highway;track;;;20;0.035;0.061;0.027
Comfort;Category;highway;motorway;;;0;0.035;0.061;0.027
Comfort;Category;highway;motorway_link;;;0;0.035;0.061;0.027
Comfort;Category;highway;living_street;;;100;0.035;0.061;0.027
Comfort;Category;highway;pedestrian;;;100;0.035;0.061;0.027
Comfort;Category;highway;primary;;;0;0.035;0.061;0.027
Comfort;Category;highway;residential;;;90;0.035;0.061;0.027
Comfort;Category;highway;primary_link;;;0;0.035;0.061;0.027
Comfort;Category;highway;cycleway;;;70;0.035;0.061;0.027
Comfort;Category;highway;footway;;;100;0.035;0.061;0.027
Comfort;Category;highway;secondary;;;20;0.035;0.061;0.027
Comfort;Category;highway;trunk_link;;;0;0.035;0.061;0.027
Comfort;Category;highway;tertiary;;;30;0.035;0.061;0.027
Comfort;Category;highway;secondary_link;;;20;0.035;0.061;0.027
Comfort;Category;highway;tertiary_link;;;30;0.035;0.061;0.027
Comfort;Category;highway;bridleway;;;20;0.035;0.061;0.027
Comfort;Category;highway;unclassified;;;30;0.035;0.061;0.027
Comfort;Category;highway;path;;;50;0.035;0.061;0.027
Comfort;Category;highway;road;;;50;0.035;0.061;0.027
Comfort;Category;highway;trunk;;;0;0.035;0.061;0.027
Comfort;Category;highway;proposed;;;0;0.035;0.061;0.027
Comfort;Category;highway;service;;;30;0.035;0.061;0.027
Comfort;Freedom from barriers;wheelchair_classified;yes;;;100;0.07;0.029;0.04
Comfort;Freedom from barriers;wheelchair_classified;limited;;;50;0.07;0.029;0.04
Comfort;Freedom from barriers;wheelchair_classified;no;;;0;0.07;0.029;0.04
Comfort;Freedom from barriers;wheelchair_classified;unclassified;;;50;0.07;0.029;0.04
Impacts from Road Traffic;Number of lanes;lanes;;;1;100;0.03;0.081;0.032
Impacts from Road Traffic;Number of lanes;lanes;;1;2;70;0.03;0.081;0.032
Impacts from Road Traffic;Number of lanes;lanes;;2;4;30;0.03;0.081;0.032
Impacts from Road Traffic;Number of lanes;lanes;;4;;0;0.03;0.081;0.032
Impacts from Road Traffic;Number of crossings;crossings;;;-1;100;0.03;0.103;0.195
Impacts from Road Traffic;Number of crossings;crossings;;2;;100;0.03;0.103;0.195
Impacts from Road Traffic;Number of crossings;crossings;;1;2;90;0.03;0.103;0.195
Impacts from Road Traffic;Number of crossings;crossings;;0;1;50;0.03;0.103;0.195
Impacts from Road Traffic;Number of crossings;crossings;;0;0;0;0.03;0.103;0.195
Impacts from Road Traffic;Speed limits;maxspeed;;;15;100;0.06;0.081;0.032
Impacts from Road Traffic;Speed limits;maxspeed;;15;30;75;0.06;0.081;0.032
Impacts from Road Traffic;Speed limits;maxspeed;;30;50;50;0.06;0.081;0.032
Impacts from Road Traffic;Speed limits;maxspeed;;50;70;25;0.06;0.081;0.032
Impacts from Road Traffic;Speed limits;maxspeed;;70;;0;0.06;0.081;0.032
Impacts from Road Traffic;Parking vehicles on the road or on the sidewalk;parking;off_street;;;0;0.07;0.008;0.018
Impacts from Road Traffic;Parking vehicles on the road or on the sidewalk;parking;on_street;;;50;0.07;0.008;0.018
Impacts from Road Traffic;Parking vehicles on the road or on the sidewalk;parking;no;;;100;0.07;0.008;0.018
Impacts from Road Traffic;Accidents;accidents;;;0;100;0.03;0.03;0.177
Impacts from Road Traffic;Accidents;accidents;;0;1;60;0.03;0.03;0.177
Impacts from Road Traffic;Accidents;accidents;;1;2;40;0.03;0.03;0.177
Impacts from Road Traffic;Accidents;accidents;;2;;0;0.03;0.03;0.177
Impacts from Road Traffic;Noise;noise;;;30;100;0.08;0.08;0.08
Impacts from Road Traffic;Noise;noise;;30;50;90;0.08;0.08;0.08
Impacts from Road Traffic;Noise;noise;;50;60;80;0.08;0.08;0.08
Impacts from Road Traffic;Noise;noise;;60;65;70;0.08;0.08;0.08
Impacts from Road Traffic;Noise;noise;;65;68;60;0.08;0.08;0.08
Impacts from Road Traffic;Noise;noise;;68;71;50;0.08;0.08;0.08
Impacts from Road Traffic;Noise;noise;;71;74;40;0.08;0.08;0.08
Impacts from Road Traffic;Noise;noise;;74;77;30;0.08;0.08;0.08
Impacts from Road Traffic;Noise;noise;;77;80;20;0.08;0.08;0.08
Impacts from Road Traffic;Noise;noise;;80;83;10;0.08;0.08;0.08
Impacts from Road Traffic;Noise;noise;;83;;0;0.08;0.08;0.08
Security;Illumination;lit_classified;yes;;;100;0.1;0.009;0.033
Security;Illumination;lit_classified;no;;;0;0.1;0.009;0.033
Security;Illumination;covered;yes;;;0;0.04;0.126;0.033
Security;Illumination;covered;no;;;100;0.04;0.126;0.033
Security;Illumination;covered;colonnade;;;100;0.04;0.126;0.033
Security;Illumination;covered;building_passage;;;100;0.04;0.126;0.033
Security;Illumination;covered;arcade;;;100;0.04;0.126;0.033
Liveliness;Land-use;landuse;industrial;;;0;0.05;0.02;0.132
Liveliness;Land-use;landuse;community;;;100;0.05;0.02;0.132
Liveliness;Land-use;landuse;agriculture;;;40;0.05;0.02;0.132
Liveliness;Land-use;landuse;nature;;;100;0.05;0.02;0.132
Liveliness;Land-use;landuse;residential;;;100;0.05;0.02;0.132
Liveliness;Land-use;landuse;leisure;;;100;0.05;0.02;0.132
Liveliness;Land-use;landuse;transportation;;;20;0.05;0.02;0.132
Liveliness;Land-use;landuse;water;;;100;0.05;0.02;0.132
Liveliness;Land-use;landuse;commercial;;;50;0.05;0.02;0.132
Liveliness;Population density;population;high;;;100;0.05;0;0.051
Liveliness;Population density;population;medium;;;70;0.05;0;0.051
Liveliness;Population density;population;low;;;30;0.05;0;0.051
Liveliness;Population density;population;no;;;0;0.05;0;0.051
Liveliness;POIs;pois;no;0;1;0;0.05;0.015;0
Liveliness;POIs;pois;very_low;1;2;25;0.05;0.015;0
Liveliness;POIs;pois;low;2;5;50;0.05;0.015;0
Liveliness;POIs;pois;medium;6;8;75;0.05;0.015;0
Liveliness;POIs;pois;high;9;;100;0.05;0.015;0
Urban Equipment;Bench;bench;;;0;0;0.01;0.013;0
Urban Equipment;Bench;bench;;0;1;50;0.01;0.013;0
Urban Equipment;Bench;bench;;1;2;75;0.01;0.013;0
Urban Equipment;Bench;bench;;2;;100;0.01;0.013;0
Urban Equipment;Waste Basket;waste_basket;;;0;0;0.01;0;0
Urban Equipment;Waste Basket;waste_basket;;0;1;50;0.01;0;0
Urban Equipment;Waste Basket;waste_basket;;1;2;75;0.01;0;0
